"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__imp__NtSetTimerEx","82000710","Data Label","Global","Imported","0","0"
"__imp__NtCreateTimer","82000714","Data Label","Global","Imported","0","0"
"__imp__RtlFreeAnsiString","82000718","Data Label","Global","Imported","0","0"
"__imp__RtlUnicodeStringToAnsiString","8200071c","Data Label","Global","Imported","0","0"
"__imp__RtlInitUnicodeString","82000720","Data Label","Global","Imported","0","0"
"__imp__KeQuerySystemTime","82000724","Data Label","Global","Imported","0","0"
"__imp__NtFlushBuffersFile","82000728","Data Label","Global","Imported","0","0"
"switchdataD_8201b5a0","8201b5a0","Data Label","switchD_8218d124","Analysis","0","0"
"switchdataD_8201b5b0","8201b5b0","Data Label","switchD_8218eb38","Analysis","0","0"
"switchdataD_8201bb38","8201bb38","Data Label","switchD_8219b1b4","Analysis","0","0"
"switchdataD_8201c7f0","8201c7f0","Data Label","switchD_821a65a0","Analysis","1","0"
"switchdataD_82021f38","82021f38","Data Label","switchD_821adc38","Analysis","1","0"
"switchdataD_82021f48","82021f48","Data Label","switchD_821b05ec","Analysis","0","0"
"switchdataD_82021fa8","82021fa8","Data Label","switchD_821b0c08","Analysis","0","0"
"switchdataD_820225c0","820225c0","Data Label","switchD_821b8618","Analysis","0","0"
"switchdataD_820252b8","820252b8","Data Label","switchD_821bcb80","Analysis","0","0"
"switchdataD_82025338","82025338","Data Label","switchD_821be62c","Analysis","1","0"
"switchdataD_82025348","82025348","Data Label","switchD_821be8f0","Analysis","0","0"
"switchdataD_82025388","82025388","Data Label","switchD_821bf464","Analysis","0","0"
"switchdataD_82026ad8","82026ad8","Data Label","switchD_821c2814","Analysis","0","0"
"switchdataD_82026ae8","82026ae8","Data Label","switchD_821c8e14","Analysis","0","0"
"switchdataD_82026bf8","82026bf8","Data Label","switchD_821d2754","Analysis","0","0"
"switchdataD_82027350","82027350","Data Label","switchD_821d5f94","Analysis","1","0"
"switchdataD_82029f50","82029f50","Data Label","switchD_821dc110","Analysis","0","0"
"switchdataD_82029f80","82029f80","Data Label","switchD_821dc728","Analysis","0","0"
"switchdataD_82029f90","82029f90","Data Label","switchD_821dd6dc","Analysis","0","0"
"switchdataD_82029fa0","82029fa0","Data Label","switchD_821e1558","Analysis","1","0"
"switchdataD_82029fb0","82029fb0","Data Label","switchD_821e1a0c","Analysis","0","0"
"switchdataD_82029fc8","82029fc8","Data Label","switchD_821e3040","Analysis","1","0"
"switchdataD_82029fe8","82029fe8","Data Label","switchD_821e3c84","Analysis","1","0"
"switchdataD_82029ff8","82029ff8","Data Label","switchD_821e3d74","Analysis","0","0"
"switchdataD_8202a0c0","8202a0c0","Data Label","switchD_821e4790","Analysis","1","0"
"switchdataD_8202cd28","8202cd28","Data Label","switchD_821ebe6c","Analysis","0","0"
"switchdataD_8202cd40","8202cd40","Data Label","switchD_821ec340","Analysis","0","0"
"switchdataD_82030160","82030160","Data Label","switchD_821fdc78","Analysis","1","0"
"switchdataD_82030e78","82030e78","Data Label","switchD_82208660","Analysis","0","0"
"switchdataD_82045bc0","82045bc0","Data Label","switchD_82224e28","Analysis","0","0"
"switchdataD_82045bd0","82045bd0","Data Label","switchD_82225398","Analysis","0","0"
"switchdataD_82045c08","82045c08","Data Label","switchD_82226394","Analysis","1","0"
"switchdataD_82045c18","82045c18","Data Label","switchD_822271ac","Analysis","1","0"
"switchdataD_82045c50","82045c50","Data Label","switchD_82227864","Analysis","1","0"
"switchdataD_82045d60","82045d60","Data Label","switchD_8222bc90","Analysis","0","0"
"switchdataD_82045d78","82045d78","Data Label","switchD_8222ec48","Analysis","0","0"
"switchdataD_82045d88","82045d88","Data Label","switchD_8222fdd0","Analysis","0","0"
"switchdataD_82045df8","82045df8","Data Label","switchD_8222fb94","Analysis","0","0"
"switchdataD_82045e18","82045e18","Data Label","switchD_82234898","Analysis","0","0"
"switchdataD_82046188","82046188","Data Label","switchD_82236e60","Analysis","1","0"
"switchdataD_8204a710","8204a710","Data Label","switchD_8224ef48","Analysis","1","0"
"switchdataD_8204b348","8204b348","Data Label","switchD_8225846c","Analysis","0","0"
"switchdataD_8204b358","8204b358","Data Label","switchD_8225bedc","Analysis","0","0"
"switchdataD_8204ddc0","8204ddc0","Data Label","switchD_822635a0","Analysis","0","0"
"switchdataD_8204e5c8","8204e5c8","Data Label","switchD_822657bc","Analysis","0","0"
"switchdataD_8204e5d8","8204e5d8","Data Label","switchD_822658f4","Analysis","0","0"
"switchdataD_8204e5f8","8204e5f8","Data Label","switchD_8226663c","Analysis","0","0"
"switchdataD_8204fb20","8204fb20","Data Label","switchD_8226db6c","Analysis","1","0"
"switchdataD_8204fb50","8204fb50","Data Label","switchD_8226eb68","Analysis","0","0"
"switchdataD_8204fc18","8204fc18","Data Label","switchD_8226f980","Analysis","1","0"
"switchdataD_8204fc58","8204fc58","Data Label","switchD_82270230","Analysis","0","0"
"switchdataD_8204fc88","8204fc88","Data Label","switchD_82273820","Analysis","0","0"
"switchdataD_8204fd18","8204fd18","Data Label","switchD_82275eb4","Analysis","0","0"
"switchdataD_8204fd28","8204fd28","Data Label","switchD_82275e58","Analysis","0","0"
"switchdataD_8204ff30","8204ff30","Data Label","switchD_8229c02c","Analysis","0","0"
"switchdataD_82050098","82050098","Data Label","switchD_822c36d0","Analysis","0","0"
"switchdataD_82050120","82050120","Data Label","switchD_822d1c24","Analysis","0","0"
"switchdataD_820503c0","820503c0","Data Label","switchD_822e5a5c","Analysis","1","0"
"switchdataD_820503d8","820503d8","Data Label","switchD_822f0924","Analysis","0","0"
"switchdataD_820503e8","820503e8","Data Label","switchD_822f5fd8","Analysis","0","0"
"switchdataD_820504f8","820504f8","Data Label","switchD_822f57e8","Analysis","0","0"
"switchdataD_82050520","82050520","Data Label","switchD_822f4cec","Analysis","0","0"
"switchdataD_82050568","82050568","Data Label","switchD_822f3c0c","Analysis","0","0"
"switchdataD_820505e8","820505e8","Data Label","switchD_822f2ff8","Analysis","0","0"
"switchdataD_82050630","82050630","Data Label","switchD_822fcd20","Analysis","0","0"
